Poblacion,Estado,Tipo,Concesionario,Distintivo,Banda,Frecuencia,Potencia W,Inicio,Fin,Latitud,Longitud,Altura,
AGUASCALIENTES,AGS.,(C)**,"MANUEL GUADALUPE, J. JESÚS, MARÍA CRISTINA, MARÍA TERESA, JOSÉ ABRAHAM Y ALFONSO RAMÍREZ DE LA TORRE",XHAC,FM,106.9,25000,04/07/04,03/07/16,215251,1021746,1885,
AGUASCALIENTES,AGS.,(C)**,"RADIO AGS, S.A. DE C.V.",XHAGA,FM,95.7,25000,29/10/08,28/10/20,215251,1021746,1885,
AGUASCALIENTES ,AGS.,(C),"RADIO EXCEDRA, S.A. DE C.V.",XHAGC,FM,97.3,50000,08/09/01,R,215251,1021746,1885,
AGUASCALIENTES,AGS.,(C),IRMA GRACIELA PEÑA TORRES,XHAGT,FM,93.7,56700,30/10/07,29/10/19,215251,1021746,1885,
AGUASCALIENTES,AGS.,(P),ARNOLDO RODRÍGUEZ ZERMEÑO,XHARZ,FM,100.1,15000,31/08/11,30/08/23,215251,1021746,1885,
AGUASCALIENTES,AGS.,(C)**,"RADIO CENTRAL, S.A. DE C.V.",XHBI,FM,88.7,25000,04/07/04,03/07/16,215251,1021746,1885,
AGUASCALIENTES,AGS.,(C)**,"RADIO CALVILLO, S.A. DE C.V.",XHCAA,FM,100.9,25000,22/11/13,21/11/25,215251,1021746,1885,
AGUASCALIENTES,AGS.,(C)*,"RADIO XEDC, S.A. DE C.V.",XHDC,FM,104.5,25000,Cambio de frecuencia de la estación XEDC-AM,,215251,1021746,1885,
AGUASCALIENTES,AGS.,(C)**,"RADIO SAN MARCOS, S.A. DE C.V.",XHERO,FM,98.9,25000,04/07/04,03/07/16,215251,1021746,1885,
AGUASCALIENTES,AGS.,(P),"INSTITUTO MENDEL, A.C.",XHMR,FM,103.7,2790,04/09/78,N.D.,215251,1021746,1885,
AGUASCALIENTES,AGS.,(C)**,"RADIO LIBERTAD, S.A. DE C.V.",XHPLA,FM,91.3,25000,13/01/09,12/01/19,215251,1021746,1885,
AGUASCALIENTES,AGS.,(P),GOBIERNO DEL ESTADO DE AGUASCALIENTES,XHRTA,FM,92.7,65000,17/11/10,16/11/22,215251,1021746,1885,
AGUASCALIENTES,AGS.,(C),"ENERGÍA DIGITAL F.M., S.A. DE C.V.",XHUNO,FM,101.7,58803,27/05/08,26/05/20,215251,1021746,1885,
AGUASCALIENTES,AGS.,(C)**,"SOLASOL, S.A. DE C.V.",XHUVA,FM,90.5,25000,21/09/04,20/09/16,215251,1021746,1885,
AGUASCALIENTES,AGS.,(C),"SÚPER FM, S.A. DE C.V.",XHUZ,FM,105.3,58803,11/04/13,10/04/25,215251,1021746,1885,
AGUASCALIENTES,AGS.,(P),UNIVERSIDAD AUTÓNOMA DE AGUASCALIENTES,XHUAA,FM,94.5,25000,04/11/12,03/11/24,215251,1021746,1885,
AGUASCALIENTES,AGS.,(C),"RADIO Y PUBLICIDAD DE AGUASCALIENTES, S.A. DE C.V.",XHYZ,FM,107.7,25000,Es frecuencia adicional de la XEYZ-AM.,,215251,1021746,1885,
AGUASCALIENTES,AGS.,(C)**,"COSMORRADIAL, S.A. DE C.V.",XHLTZ,FM,106.1,25000,30/04/13,29/04/25,215251,1021746,1885,
CALVILLO,AGS.,(C),JOSEFINA REYES SAHAGÚN,XHEY,FM,102.9,25000,Cambio de frecuencia de la estación XEEY-AM,,215049,1024307,1640,
JESÚS MARÍA,AGS.,(P)*,GOBIERNO DEL ESTADO DE AGUASCALIENTES,XHNM,FM,98.1,15000,Cambio de frecuencia de la estación XENM-AM,,215740,1022036,1880,
CALVILLO,AGS.,(P),"COMUNICACIÓN INTEGRAL PARA LA FAMILIA, A.C.",XHCIF,FM,107.3,2950,19/12/12,18/12/24,215049,1024307,1640,
CD. MORELOS,B.C.,(C)**,"RADIO Y PRODUCCIÓN DE CALIDAD, S.A. DE C.V.",XHDY,FM,107.1,25000,03/07/04,02/07/16,323756,1145103,17,
ENSENADA,B.C.,(C),"STEREOREY MÉXICO, S.A.",XHADA,FM,106.9,6000,27/08/06,26/08/18,315128,1163621,16,
ENSENADA,B.C.,(C),"RADIO INTEGRAL, S.A. DE C.V.",XHAT,FM,101.1,3320,16/02/09,15/02/21,315128,1163621,16,
ENSENADA,B.C.,(C)**,"RADIO ENSENADA, S.A.",XHDX,FM,100.3,6000,04/07/04,03/07/16,315128,1163621,16,
ENSENADA,B.C.,(C)**,"RADIO INTEGRAL, S.A. DE C.V.",XHEBC,FM,97.9,6000,11/11/04,10/11/16,315128,1163621,16,
ENSENADA,B.C.,(C),"STEREOREY MÉXICO, S.A.",XHENA,FM,103.3,8800,16/02/09,15/02/21,315128,1163621,16,
ENSENADA,B.C.,(C)**,"GLORIA HERMINIA ENCISO POWER, GLORIA HERMINIA, MARICEL, JOSÉ ENRIQUE, MARCIA, CLAUDIA BEATRIZ Y LAURA ELENA, TODOS DE APELLIDOS JIMÉNEZ ENCISO",XHEPF,FM,89.1,6000,04/07/04,03/07/16,315128,1163621,16,
ENSENADA,B.C.,(C)**,GLORIA HERMINIA ENCISO POWER,XHHC,FM,92.1,6000,04/07/04,03/07/16,315128,1163621,16,
ENSENADA,B.C.,(P),UNIVERSIDAD AUTÓNOMA DE BAJA CALIFORNIA,XHUAC,FM,95.5,3000,13/03/87,N.D.,315128,1163621,16,
ENSENADA (C. LA BUFADORA),B.C.,(C),"GRUPO UZIVRA, S.A. DE C.V.",XHFZO,FM,92.9,15000,18/08/09,17/08/21,315124,1163628,19,
MEXICALI,B.C.,(C),"RADIO PROMOTORA DE MEXICALI, S.A.",XEWV,FM,106.7,2020,04/07/04,03/07/16,323948,1152804,8,
MEXICALI,B.C.,(P),UNIVERSIDAD AUTÓNOMA DE BAJA CALIFORNIA,XHBA,FM,104.1,100000,26/10/78,N.D.,323948,1152804,8,
MEXICALI,B.C.,(C),"IMAGEN MONTERREY, S.A. DE C.V.",XHCMS,FM,105.5,15000,16/02/09,15/02/21,323948,1152804,8,
MEXICALI,B.C.,(C),"STEREOREY MÉXICO, S.A.",XHJC,FM,91.5,14568,31/01/10,30/01/20,323948,1152804,8,
MEXICALI,B.C.,(C),"RADIODIFUSORA XHMC, S.A. DE C.V.",XHMC,FM,104.9,10030,10/11/02,09/11/14,323948,1152804,8,
MEXICALI,B.C.,(C),"EFEMMEX, S.A. DE C.V.",XHMMF,FM,92.3,21900,12/02/10,11/02/20,323948,1152804,8,
MEXICALI,B.C.,(C),"RADIOTELEVISORA DE MEXICALI, S.A. DE C.V.",XHMOE,FM,90.7,100000,24/08/08,23/08/20,323948,1152804,8,
MEXICALI,B.C.,(C),"RADIO Y TELEVISIÓN INTERNACIONAL, S.A. DE C.V.",XHMUG,FM,96.9,50000,30/03/09,29/03/21,323948,1152804,8,
MEXICALI,B.C.,(C),"STEREOREY MÉXICO, S.A.  ",XHPF,FM,101.9,14118,24/02/06,23/02/18,323948,1152804,8,
MEXICALI,B.C.,(C),"FRECUENCIAS ESPECIALES, S.A.",XHSOL,FM,89.9,13000,04/05/10,03/05/20,323948,1152804,8,
MEXICALI,B.C.,(C),"XESU, S.A.",XHSU,FM,105.9,3000,Es Frecuencia adicional de la XESU-AM,,323948,1152804,8,
MEXICALI,B.C.,(C),"STEREOREY MÉXICO, S.A.",XHVG,FM,103.3,14118,10/12/12,09/12/24,323948,1152804,8,
RUMOROSA,B.C.,(C),"SISTEMAS DE COMUNICACIÓN BAJACALIFORNIANA, S.A. DE C.V.",XHMIX,FM,98.3,30000,23/11/04,22/11/16,323948,1152804,8,
SAN FELIPE,B.C.,(C),HUMBERTO ARECHIGA ESPINOZA,XHSFP,FM,93.9,3000,23/03/10,22/03/20,310151,1145004,18,
TECATE,B.C.,(C),"RADIO TRIUNFOS, S.A. DE C.V.",XHHIT,FM,95.3,12000,07/11/03,06/11/15,323420,1163825,541,
TECATE,B.C.,(C)**,"RADIO CUCHUMA, S.A.",XHKT,FM,88.5,1000,04/07/04,03/07/16,323420,1163825,541,
TECATE (C. BOLA),B.C.,(C),"MEDIA SPORTS DE MÉXICO, S.A. DE C.V.",XHPRS,FM,105.7,8200,16/11/03,15/11/15,321852,1163953,18,
