Poblacion,Estado,Tipo,Concesionario,Distintivo,Banda,Frecuencia,Potencia W,Inicio,Fin,Latitud,Longitud,Altura,
AGUASCALIENTES,AGS.,(P),"INSTITUTO MENDEL, A.C.",XHMR,FM,103.7,2790,04/09/78,N.D.,215251,1021746,1885,
ENSENADA,B.C.,(C),"STEREOREY MÉXICO, S.A.",XHENA,FM,103.3,8800,16/02/09,15/02/21,315128,1163621,16,
MEXICALI,B.C.,(C),"STEREOREY MÉXICO, S.A.  ",XHPF,FM,101.9,14118,24/02/06,23/02/18,323948,1152804,8,
TIJUANA,B.C.,(P),MARTHA MARGARITA BARBA DE LA TORRE,XHLNC,FM,104.9,7500,25/01/05,R,323205,1170237,31,
LA PAZ,B.C.S.,(C),"FORMULA RADIOFÓNICA, S.A. DE C.V.",XHNT,FM,97.5,25000,Cambio de frecuencia de la estación XENT-AM,,240832,1101839,27,
SAN FRANCISCO DE CAMPECHE,CAMP.,(C)**,"RADIORAMA DEL SURESTE, S.A.",XHAC,FM,102.7,25000,04/07/04,03/07/16,195045,903212,3,
CD. ACUÑA,COAH.,(C),"LA GRANDE DE COAHUILA, S.A. DE C.V.",XHHAC,FM,100.7,6000,17/11/03,16/11/15,291927,1005554,271,
MONCLOVA,COAH.,(P)*,"PATRONATO CULTURAL MONCLOVA, A.C.",XHPU,FM,97.1,25000,Cambio de frecuencia de la estación XEPU-AM,,265403,1012500,609,
PIEDRAS NEGRAS,COAH.,(C),"RADIO ZÓCALO, S.A. DE C.V.",XHPC,FM,107.9,10000,18/04/13,17/04/25,284200,1003123,223,
SALTILLO,COAH.,(C),"ADMINISTRADORA ARCÁNGEL, S.A. DE C.V.",XHRP,FM,94.7,29650,24/08/10,23/08/20,252600,1010000,1560,
TORREÓN,COAH.,(C),BRAULIO MANUEL FERNÁNDEZ AGUIRRE,XHMP,FM,95.5,12000,08/05/09,07/05/19,253240,1032630,1120,
