Poblacion,Estado,Tipo,Concesionario/Permisionario,Distintivo,Banda,Frecuencia (kHz),Potencia Diurna y Nocturna,Inicio,Fin,Latitud,Longitud,Altitud,
AGUASCALIENTES,AGS.,(C),"RADIO XEDC, S.A. DE C.V.",XEDC,AM,1050,1-D  1-N,29/10/08,28/10/20,215251,1021746,1885,
AGUASCALIENTES,AGS.,(C),"RADIO Y PUBLICIDAD DE AGUASCALIENTES, S.A. DE C.V.",XEYZ,AM,1130,10 -D  2.5 -N,03/01/10,02/01/20,215251,1021746,1885,
EL SAUZ II,AGS.,(C),JOSEFINA REYES SAHAGÚN,XEEY,AM,660,50 -D  10 -N,24/05/07,23/05/17,215401,1022133,1880,
JESÚS MARÍA,AGS.,(P),GOBIERNO DEL ESTADO DE AGUASCALIENTES,XENM,AM,1320,6 -D  0.5 -N,17/11/12,16/11/24,221404,1020646,2292,
JARAMILLO,B.C.,(C),"MEDIA SPORTS DE MÉXICO, S.A. DE C.V.",XEPE,AM,1700,10 -D  10 -N,17/11/03,16/11/15,305519,1160745,57,
MEXICALI,B.C.,(C),"GRUPO RADIODIGITAL SIGLO XXI, S.A. DE C.V.",XEAA,AM,1340,1 -D  1 -N,09/06/09,08/06/21,323948,1152804,8,
MEXICALI,B.C.,(C),"STEREOREY MEXICALI, S.A.",XEABCA,AM,820,3.5 -D  0.5 -N,29/09/10,28/09/20,323948,1152804,8,
MEXICALI,B.C.,(C),"LA VOZ DE MEXICALI, S.A.",XEAO,AM,910,0.25 -D  0.25 -N,04/07/04,03/07/16,323948,1152804,8,
MEXICALI,B.C.,(C),"XECL-AM, S.A.",XECL,AM,990,1.4 -D  3 -N,04/07/04,03/07/16,323948,1152804,8,
MEXICALI,B.C.,(C),"X-E-D, S.A.",XED,AM,1050,10 -D  N.A. -N,22/05/10,21/05/20,323948,1152804,8,
MEXICALI,B.C.,(C),"X-E-H-G, S.A.",XEHG,AM,1370,0.5 -D  N.A. -N,04/07/04,03/07/16,323948,1152804,8,
MEXICALI,B.C.,(C),"RADIODIFUSORA CACHANILLA, S.A. DE C.V.",XEMBC,AM,1190,0.25 -D  0.1 -N,04/07/04,03/07/16,323948,1152804,8,
MEXICALI,B.C.,(C),"RADIO PROMOTORA DE MEXICALI, S.A.",XEMMM,AM,940,1 -D  0.1 -N,04/07/04,03/07/16,323948,1152804,8,
MEXICALI,B.C.,(C),"STEREOREY MÉXICO, S.A.",XEMX,AM,1120,0.4 -D  0.1 -N,18/05/03,17/05/15,323948,1152804,8,
MEXICALI,B.C.,(C),"FORMULA RADIOFÓNICA, S.A. DE C.V.",XERM,AM,1150,1-D  0.06 -N,31/10/03,30/10/15,323948,1152804,8,
MEXICALI,B.C.,(C),"XESU, S.A.",XESU,AM,790,0.75 -D  0.025 -N,04/07/04,03/07/16,323948,1152804,8,
MEXICALI,B.C.,(C),"XEZF-AM, S.A.",XEZF,AM,850,0.25 -D  N.A. -N,04/07/04,03/07/16,323948,1152804,8,
PLAYAS DE ROSARITO,B.C.,(C),"W3 COMM CONCESIONARIA, S.A. DE C.V.",XEWW,AM,690,77 -D  50 -N,04/07/04,03/07/16,322032,1170322,14,
PUERTO NUEVO,B.C.,(C),"MEDIA SPORTS DE MÉXICO, S.A. DE C.V.",XESDD,AM,1030,5 -D  5 -N,16/11/03,15/11/15,321434,1165606,32,
PUERTO NUEVO,B.C.,(C),"MEDIA SPORTS DE MÉXICO, S.A. DE C.V.",XESS,AM,620,5 -D  5 -N,23/08/12,22/08/24,321434,1165606,32,
RANCHO DEL MAR,B.C.,(C),"INTERAMERICANA DE RADIO, S.A. DE C.V.",XEPRS,AM,1090,50 -D  50 -N,04/07/04,03/07/16,322411,1170506,47,
RANCHO VISTA HERMOSA,B.C.,(C),"RADIODIFUSORA, X.E.M.O., S.A. DE C.V.",XEMO,AM,860,10 -D  7.5 -N,04/07/04,03/07/16,323203,1170119,380,
ROSARITO,B.C.,(C),"TRANSMISORA REGIONAL RADIO FORMULA, S.A. DE C.V.",XEKAM,AM,950,20 -D  5 -N,04/07/04,03/07/16,302926,1152204,780,
SAN QUINTÍN,B.C.,(P),COMISIÓN NACIONAL PARA EL DESARROLLO DE LOS PUEBLOS INDÍGENAS,XEQIN,AM,1160,10 -D N.A. -N,19/08/92,N.D.,303337,1155633,28,
TIJUANA,B.C.,(C),"GRUPO RADIODIGITAL SIGLO XXI, S.A. DE C.V.",XEAZ,AM,1270,0.5 -D  0.5 -N,18/04/08,17/04/20,323205,1170237,31,
TIJUANA,B.C.,(C),"RADIO TIJUANA, S.A.",XEBG,AM,1550,1 -D  1 -N,04/07/04,03/07/16,323205,1170237,31,
TIJUANA,B.C.,(C),"GLORIA HERMINIA ENCISO POWER, GLORIA HERMINIA, MARICEL, JOSÉ ENRIQUE, MARCIA, CLAUDIA BEATRIZ Y LAURA ELENA, TODOS DE APELLIDOS JIMÉNEZ ENCISO",XEC,AM,1310,1 -D  1 -N,04/07/04,03/07/16,323205,1170237,31,
